idFactura,idC,fecha
1,2,2023-04-25
2,1,2023-03-09
3,2,2023-03-31
4,7,2023-08-27
5,4,2022-12-10
6,4,2023-09-12
7,6,2022-11-23
8,7,2023-01-05
9,8,2023-11-04
10,7,2023-05-21
11,6,2023-08-15
12,3,2023-05-29
13,2,2023-01-13
14,8,2023-01-27
15,7,2023-07-16
16,10,2023-09-07
17,1,2023-06-25
18,6,2023-04-23
19,7,2023-08-08
20,4,2023-10-04
21,3,2023-07-05
22,2,2023-06-21
23,5,2023-03-03
24,8,2023-08-11
25,10,2023-02-20
26,3,2023-11-21
27,10,2023-07-30
28,1,2023-11-09
29,6,2023-06-11
30,1,2023-10-06
31,8,2023-03-14
32,1,2023-08-28
33,3,2023-04-18
34,2,2023-06-26
35,4,2023-06-20
36,9,2023-05-11
37,1,2023-10-14
38,10,2023-05-29
39,6,2023-09-12
40,5,2023-01-27
41,5,2023-11-16
42,8,2023-07-05
43,8,2023-02-17
44,7,2023-06-21
45,9,2022-11-29
46,3,2023-03-04
47,3,2023-08-15
48,7,2023-01-17
49,7,2023-02-11
50,2,2022-12-19
51,8,2023-09-01
52,8,2023-01-17
53,9,2022-11-25
54,8,2022-12-17
55,9,2023-07-22
56,7,2022-12-04
57,10,2023-05-22
58,10,2023-04-12
59,7,2023-07-26
60,8,2022-11-26
61,1,2023-02-17
62,10,2023-06-12
63,5,2023-06-20
64,7,2023-07-09
65,8,2022-12-03
66,5,2023-07-31
67,9,2022-12-12
68,5,2022-12-26
69,10,2023-07-17
70,8,2023-01-10
71,1,2023-07-10
72,8,2023-11-12
73,4,2023-03-25
74,1,2022-12-05
75,9,2023-02-25
76,9,2023-10-11
77,9,2023-09-14
78,8,2023-08-22
79,8,2023-09-23
80,5,2023-03-18
81,7,2023-05-28
82,9,2023-11-18
83,9,2023-07-26
84,7,2023-07-04
85,5,2022-12-14
86,5,2023-08-09
87,2,2023-06-03
88,4,2023-09-16
89,7,2023-02-27
90,8,2023-10-22
91,6,2023-10-15
92,8,2023-08-22
93,3,2023-05-05
94,8,2023-10-01
95,5,2023-11-03
96,8,2023-04-14
97,1,2023-08-11
98,6,2023-07-27
99,5,2022-12-12
100,6,2023-05-27
101,9,2023-04-13
102,2,2023-10-17
103,6,2023-03-31
104,4,2023-01-18
105,6,2023-05-22
106,9,2023-10-01
107,3,2023-02-16
108,3,2023-01-12
109,9,2023-05-17
110,9,2022-12-15
111,5,2023-05-31
112,4,2023-07-12
113,3,2023-05-06
114,10,2023-05-28
115,4,2023-10-08
116,2,2023-10-15
117,6,2023-06-09
118,4,2023-03-20
119,10,2023-07-03
120,4,2023-03-02
121,9,2023-07-06
122,8,2023-02-14
123,5,2023-09-01
124,5,2022-12-13
125,5,2022-12-15
126,7,2023-09-30
127,8,2023-09-13
128,2,2023-04-28
129,7,2023-06-23
130,6,2023-05-16
131,2,2023-01-22
132,7,2023-10-19
133,2,2022-12-24
134,2,2023-04-18
135,7,2023-08-06
